252,Isla Magdalena 1,,no,72°20'22'',52°41'22'',n.r.,,Alta,Indet.,n.r.,n.r.
253,Isla Marta 20,,no,,,1,,Indet.,Plano,3,2
254,M11,,no,72°17'18'',52°33'28'',n.r.,,Indet.,Indet.,n.r.,n.r.
255,M12,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
256,M13,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
257,M14,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
258,M15,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
259,M16, Emperaire 1988,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
260,M17, Legoupil 1983,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
261,Ponsonby,Legoupil et al. 1992-93,si,,,  1997-98,,Indeterminado,n.r.,Limo,Coluvial
262,Isla Vivian,Constantinescu et al. 1998,,,,n.r.,,,,60,Campamento
263,Itsmo Chinchorro 19,Constantinescu et al. 1998,no,,,1,,Indet.,Plano,40,10
264,HOSTEH1, Bird 1993,no,72°21'05'',52°32'43'',n.r.,,Alta,Indet.,n.r.,n.r.
265,KONAIK 1, Prieto et al. 1998,no,69°46'12'',52°24'02'',14,,Media,Indet.,n.r.,n.r.
266,Cañadón Leona 3,,si,70°53'51'',52°55'07'',52°28'43'',,,,n.r.,Campamento Efímero
